City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Kutum,SD,80.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
384,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Jatiúca Hotel & Resort
388,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Almagre
389,Veraval,IN,82.87,overcast clouds,20.9,70.3667,Hotel Somnath Sagar
390,Port Keats,AU,70.12,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
393,Shangrao,CN,75.04,scattered clouds,28.4532,117.9686,Wanda Realm Shangrao
394,Port-Gentil,GA,74.93,scattered clouds,-0.7193,8.7815,Hotel du Parc
395,Alugan,PH,81.68,overcast clouds,12.2188,125.4808,JM Lodge
397,Kranjska Gora,SI,78.46,clear sky,46.4839,13.7894,Hotel Kompas
398,Jiuquan,CN,84.25,few clouds,39.7432,98.5174,Jiuquan Hotel
403,Quang Ngai,VN,79.23,overcast clouds,15.1167,108.8,HANA RIVERSIDE VILLA
406,Roma,US,78.85,broken clouds,43.2128,-75.4557,Oak & Ivy Bed and Breakfast
408,Astorga,BR,75.6,clear sky,-23.2325,-51.6656,Astorga Park Hotel
416,Tucuman,AR,77.0,clear sky,-26.8241,-65.2226,Hotel Tucumán Center - Suites & Business
419,Dicabisagan,PH,81.55,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Augusto Correa,BR,83.93,scattered clouds,-1.0217,-46.635,Hotel Urumajo
423,Banjar,ID,78.66,few clouds,-8.19,114.9675,Villa Oscar
424,Marivan,IR,81.39,clear sky,35.5219,46.176,Castle Suites
428,Clyde,US,76.55,broken clouds,41.3042,-82.9752,Red Roof Inn Clyde
430,Kirakira,SB,78.21,broken clouds,-10.4544,161.9205,Sea view Accomodation
433,El Tigre,VE,87.22,broken clouds,8.8875,-64.2454,Hotel Gemstone Inn
434,Portland,US,71.53,clear sky,45.5234,-122.6762,Tiny Digs Hotel Portland
435,Palasa,IN,80.35,overcast clouds,18.7667,84.4167,Sri Balaji lodge
436,Quatre Cocos,MU,71.1,few clouds,-20.2078,57.7625,Long Beach Mauritius
437,Vila Velha,BR,75.96,broken clouds,-20.3297,-40.2925,Pousada Convento da Penha
439,Fuyang,CN,75.16,scattered clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
440,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
441,Gualaquiza,EC,75.87,light rain,-3.4,-78.55,Hostal El Paraiso
443,Lucea,JM,86.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
447,San Cristobal,VE,80.28,overcast clouds,7.7669,-72.225,Posada Turística Terrazas Del Viento C.A.
448,Hirara,JP,82.31,moderate rain,24.8,125.2833,かたあきの里
449,Smidovich,RU,77.36,broken clouds,48.6,133.8167,Gostinnitsa
450,Kizukuri,JP,74.95,few clouds,40.8061,140.3861,Hotel Sunroute Goshogawara
455,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Atlântida Mar Hotel
456,Mahibadhoo,MV,83.01,broken clouds,3.7833,72.9667,Hudhuveli Maldives
457,Bambanglipuro,ID,76.77,few clouds,-7.95,110.2833,Puri Brata
476,Omboue,GA,74.16,broken clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
477,Boueni,YT,76.98,scattered clouds,-12.9025,45.0761,LE CHISSIOUA
485,Bzenec,CZ,81.95,broken clouds,48.9734,17.2669,Hotel Lidový dům
486,Flin Flon,CA,72.9,clear sky,54.7682,-101.865,Prospector Inn
488,Craig,US,79.18,overcast clouds,40.5153,-107.5464,Elk Run Inn
491,Dongsheng,CN,72.86,clear sky,39.8161,109.9776,Crowne Plaza Ordos
493,Peniche,PT,76.48,scattered clouds,39.3558,-9.3811,Surfers Lodge Peniche
494,Sabang,ID,83.79,overcast clouds,5.8933,95.3214,RedDoorz Syariah @ Sumur Tiga Beach Sabang
498,Altus,US,87.31,haze,34.6381,-99.334,Days Inn by Wyndham Altus
499,Eregli,TR,74.77,clear sky,37.5133,34.0467,Mirel Hotel
501,Katobu,ID,72.45,overcast clouds,-4.9408,122.5276,La Ode Husein
504,Praia,CV,82.94,few clouds,14.9215,-23.5087,Hotel Santiago
511,Robertsport,LR,74.93,heavy intensity rain,6.7533,-11.3686,Nana's Lodge
512,Keningau,MY,75.65,overcast clouds,5.3378,116.1602,Sento Hotel
513,Axim,GH,78.12,broken clouds,4.8699,-2.2405,Ankobra Beach
514,Marsh Harbour,BS,83.64,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
515,Imbituba,BR,71.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
516,Skeldon,GY,85.12,scattered clouds,5.8833,-57.1333,Classic International Hotel & Suites
517,Elbistan,TR,74.35,clear sky,38.2059,37.1983,Grand Elbistan Park Hotel
518,Kapoeta,SS,77.74,light rain,4.7717,33.5903,Kuleu Hotel
521,Severnyy,RU,73.44,clear sky,50.677,36.5532,Hotel VOYAGE
522,Vao,NC,70.07,overcast clouds,-22.6667,167.4833,OURE TERA beach resort
524,La Primavera,CO,75.65,overcast clouds,5.4906,-70.4092,Restaurante Sol del Llano
525,Grand-Lahou,CI,78.04,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
528,Yangambi,CD,74.34,light rain,0.8102,24.4336,Club Yangambi
531,Ibanda,TZ,73.65,scattered clouds,-2.7974,32.4746,La Residencia Apartment
533,Surab,PK,79.32,scattered clouds,28.4914,66.2585,Muslim Rent Rooms
535,Padang,ID,77.85,light rain,-0.9492,100.3543,Air Manis Hill Residence
537,Kapit,MY,75.2,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
539,Narasannapeta,IN,79.99,overcast clouds,18.4167,84.05,SPR Grand Hotel
541,Half Moon Bay,US,77.0,scattered clouds,37.4636,-122.4286,Beach House - Half Moon Bay
543,Cravo Norte,CO,74.73,overcast clouds,6.3017,-70.2041,Hostal hopedaje Sunem
545,Finschhafen,PG,77.81,overcast clouds,-6.6024,147.8681,Cossam Guest House
551,Boizenburg,DE,71.13,scattered clouds,53.3833,10.7167,Jagdschloesschen Schwartow
552,Marsa Matruh,EG,80.92,clear sky,31.3525,27.2453,Arous El Bahr Hotel
556,Ilyich,KZ,85.98,clear sky,40.8464,68.5067,Aul Madeniyet
558,Krasnoselkup,RU,71.08,light rain,65.7,82.4667,Krasnosel'kupnefteprodukt
559,Moosomin,CA,76.32,clear sky,50.1333,-101.6677,Motel 6
562,Bundaberg,AU,70.21,broken clouds,-24.85,152.35,Best Western Bundaberg City Motor Inn
563,Aktau,KZ,81.18,broken clouds,43.65,51.2,Caspian Riviera Grand Palace Hotel
568,Tandil,AR,70.11,overcast clouds,-37.3217,-59.1332,Brisas Serranas
570,Voi,KE,74.12,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
571,Mersing,MY,80.53,light rain,2.4312,103.8405,Hard Rock VIP Guest House - Mersing
574,Tabuk,PH,76.73,overcast clouds,17.4189,121.4443,Grand Zion Garden Resort Hotel
575,Zwedru,LR,75.58,moderate rain,6.0667,-8.1281,B and P Guest House
576,Sokoto,NG,87.44,overcast clouds,13.0609,5.239,Grand Ibro Hotel
578,Naqadeh,IR,83.73,clear sky,36.9553,45.388,MOALLEM HOTEL
582,Lorengau,PG,80.92,broken clouds,-2.0226,147.2712,Tharapiyap Lodge
583,Marica,BR,80.26,clear sky,-22.9194,-42.8186,Pousada Bela Vista Maricá
585,Pandan,PH,82.24,overcast clouds,14.0453,124.1694,Bahay Ni Kuya Romel
589,North Bend,US,70.25,clear sky,43.4065,-124.2243,The Mill Casino • Hotel & RV Park
592,Northam,GB,78.15,overcast clouds,51.0333,-4.2167,Tarka Trail Camping
593,San Carlos,VE,80.28,broken clouds,9.6612,-68.5827,Hotel Central
594,Glendive,US,84.52,few clouds,47.1053,-104.7125,Astoria Hotel
599,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Hotel Riu Atoll
606,Matara,LK,76.55,overcast clouds,5.9485,80.5353,Villa Polhena
607,Kropotkin,RU,74.8,overcast clouds,45.4375,40.5756,"Гостиница ""НОЙ"""
611,Sakaiminato,JP,78.06,overcast clouds,35.55,133.2333,Traveller's Cabin Tottori Sakaiminato EN
612,La Salle,US,87.84,clear sky,41.3334,-89.0918,Best Western Oglesby Inn
613,Ratnagiri,IN,80.85,overcast clouds,16.9833,73.3,The Blue View Villas
615,Isla Mujeres,MX,87.85,overcast clouds,21.2311,-86.731,Hotel Playa La Media Luna
618,Fare,PF,77.45,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
619,Arona,ES,75.33,clear sky,28.0996,-16.681,Hotel Jardín Tropical
622,Ferme-Neuve,CA,75.81,clear sky,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
623,Mandera,KE,86.95,overcast clouds,3.9366,41.867,Granada hotel Mandera
626,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,eSuites VILA DO MAR Natal
630,Karanja,IN,72.54,overcast clouds,20.4833,77.4833,Gurukrupa Hotel and Restaurant
631,Alyangula,AU,73.24,broken clouds,-13.8483,136.4192,SRA A Block
633,Kupang,ID,71.92,clear sky,-10.1667,123.5833,RedDoorz @ Ketapang Satu Beach Kupang
644,San Policarpo,PH,81.97,overcast clouds,12.1791,125.5072,JM Lodge
645,Chai Badan,TH,79.84,moderate rain,15.2,101.1333,Narai Grand Hotel
