City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Muros,ES,42.7762,-9.0603,70.09,75,6,9.26,clear sky
83,Bilma,NE,18.6853,12.9164,102.7,18,5,0.43,clear sky
84,Husavik,IS,66.0449,-17.3389,59.41,79,100,2.26,overcast clouds
85,Georgetown,MY,5.4112,100.3354,84.88,80,20,0.0,few clouds
86,Penzance,GB,50.1186,-5.5371,70.81,68,20,35.68,light rain
87,Cape Town,ZA,-33.9258,18.4232,55.27,70,0,3.0,clear sky
88,Toora-Khem,RU,52.4675,96.11,67.26,45,100,2.04,overcast clouds
89,Lebu,CL,-37.6167,-73.65,53.85,78,100,13.44,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,42.58,61,80,2.39,broken clouds
91,Dingle,PH,10.9995,122.6711,78.91,80,100,11.74,overcast clouds
92,Lompoc,US,34.6391,-120.4579,82.13,76,19,6.29,few clouds
93,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,11.5,broken clouds
94,Emba,KZ,48.8264,58.1442,83.05,38,99,2.15,overcast clouds
95,Upernavik,GL,72.7868,-56.1549,39.51,97,100,9.01,light rain
96,Jalu,LY,29.0331,21.5482,94.59,24,0,12.03,clear sky
97,Winneba,GH,5.3511,-0.6231,77.54,75,77,12.84,broken clouds
98,Constantine,DZ,36.365,6.6147,96.64,16,0,14.54,clear sky
99,Nadvoitsy,RU,63.8667,34.3167,54.63,44,91,10.89,overcast clouds
100,Kodiak,US,57.79,-152.4072,54.91,88,90,13.8,moderate rain
101,Opuwo,NA,-18.0607,13.84,66.49,13,0,9.64,clear sky
102,Werda,BW,-25.2667,23.2833,47.93,15,0,7.27,clear sky
103,Ancud,CL,-41.8697,-73.8203,46.22,59,6,6.76,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,48.88,78,91,5.37,overcast clouds
105,Nanortalik,GL,60.1432,-45.2371,43.7,83,56,14.65,broken clouds
106,Airai,TL,-8.9266,125.4092,55.13,51,6,3.15,clear sky
107,Broome,US,42.2506,-75.833,78.01,56,40,1.99,scattered clouds
108,Port Hardy,CA,50.6996,-127.4199,56.64,89,100,4.88,light rain
109,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.49,63,6,7.52,clear sky
110,Islamkot,PK,24.6997,70.177,89.71,59,100,14.23,overcast clouds
111,Pacific Grove,US,36.6177,-121.9166,61.0,88,30,1.01,scattered clouds
112,San Angelo,US,31.4638,-100.437,91.98,60,7,8.01,clear sky
113,Sitborice,CZ,49.0143,16.7798,81.09,40,0,6.91,clear sky
114,Egvekinot,RU,66.3167,-179.1667,41.54,95,82,5.06,broken clouds
115,Escanaba,US,45.7453,-87.0646,79.05,86,75,8.05,broken clouds
116,Gwadar,PK,25.1216,62.3254,83.17,88,97,7.56,overcast clouds
117,Kadiri,IN,14.1167,78.1667,74.93,76,100,17.56,overcast clouds
118,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,34,0.0,scattered clouds
119,Okhotsk,RU,59.3833,143.3,56.07,93,79,0.94,broken clouds
120,Xining,CN,36.6167,101.7667,66.63,61,32,3.04,scattered clouds
121,Avarua,CK,-21.2078,-159.775,73.45,88,75,4.61,broken clouds
122,Ponta Delgada,PT,37.7333,-25.6667,72.32,78,75,13.8,broken clouds
123,Samarai,PG,-10.6167,150.6667,79.68,85,84,8.61,broken clouds
124,Senanga,ZM,-16.1167,23.2667,65.66,16,93,7.45,overcast clouds
125,Brandon,US,27.9378,-82.2859,94.59,72,90,1.01,overcast clouds
126,Itarema,BR,-2.9248,-39.9167,86.65,52,5,18.48,clear sky
127,Tuktoyaktuk,CA,69.4541,-133.0374,49.32,66,98,9.35,overcast clouds
128,Mabaruma,GY,8.2,-59.7833,84.49,79,96,5.73,overcast clouds
129,Rawson,AR,-43.3002,-65.1023,53.49,33,0,25.88,clear sky
130,Dahra,DZ,36.2546,0.8519,98.35,19,1,6.96,clear sky
131,Nishihara,JP,26.1842,127.7558,79.88,89,75,31.07,broken clouds
132,Arraial Do Cabo,BR,-22.9661,-42.0278,70.11,63,2,14.56,clear sky
133,Porto Santo,PT,33.072,-16.3415,76.91,68,40,17.27,scattered clouds
134,Gamba,GA,-2.65,10.0,72.7,77,81,8.93,broken clouds
135,Cabo San Lucas,MX,22.8909,-109.9124,95.5,65,1,5.95,clear sky
136,Vanimo,PG,-2.6741,141.3028,77.41,90,100,5.73,moderate rain
137,La Ronge,CA,55.1001,-105.2842,60.82,49,72,15.43,broken clouds
138,Ternate,ID,0.8,127.4,81.88,80,97,10.33,overcast clouds
139,Kudeyevskiy,RU,54.8758,56.7567,67.23,75,100,5.23,overcast clouds
140,Constitucion,CL,-35.3333,-72.4167,60.15,58,93,7.58,overcast clouds
141,Springbok,ZA,-29.6643,17.8865,48.33,22,0,23.15,clear sky
142,Kukshi,IN,22.2,74.75,79.57,78,99,1.03,overcast clouds
143,Nevel,RU,56.0209,29.9284,66.74,56,35,6.76,scattered clouds
